l_english:
 STRATEGICREGION_1:0 "Бристольский пролив"
 STRATEGICREGION_2:2 "Юго-Западная Англия"
 STRATEGICREGION_3:2 "Уэльс"
 STRATEGICREGION_4:1 "Юго-Восточная Англия"
 STRATEGICREGION_5:1 "Большой Лондон"
 STRATEGICREGION_6:1 "Восток Англии"
 STRATEGICREGION_7:1 "Париж"
 STRATEGICREGION_8:1 "Иль-де-Франс"
 STRATEGICREGION_9:2 "Бретань"
 STRATEGICREGION_10:1 "Нормандия"
 STRATEGICREGION_11:1 "Пэи-де-ля-Луар"
 STRATEGICREGION_12:1 "Центр-Валь-де-Луар"
 STRATEGICREGION_13:1 "Швейцария"
 STRATEGICREGION_14:1 "Па-де-Кале"
 STRATEGICREGION_15:1 "Бургундия"
 STRATEGICREGION_16:1 "Эльзас"
 STRATEGICREGION_17:1 "Шампанские Арденны"
 STRATEGICREGION_18:1 "Верхняя Нормандия"
 STRATEGICREGION_19:1 "Пикардия"
 STRATEGICREGION_20:1 "Люксембург"
 STRATEGICREGION_21:1 "Валлония"
 STRATEGICREGION_22:1 "Фландрия"
 СТРАТЕГИЧЕСКИЙ РЕГИОН_23:1 "Зеландия"
 STRATEGICREGION_24:1 "Голландский Лимбург"
 СТРАТЕГИЧЕСКИЙ РЕГИОН_25:1 "Баден-Вюртемберг"
 STRATEGICREGION_26:1 "Рейнланд"
 STRATEGICREGION_27:1 "Гессен"
 STRATEGICREGION_28:1 "Вестфалия"
 STRATEGICREGION_29:1 "Бухта Сены"
 STRATEGICREGION_30:1 "Лайм-Бей"
 STRATEGICREGION_31:1 "Залив Сен-Мало"
 STRATEGICREGION_32:1 "Солент"
 STRATEGICREGION_33:1 "Пул-Бей"
 STRATEGICREGION_34:1 "Киберон Бэй"
 СТРАТЕГИЧЕСКИЙ РЕГИОН_35:1 "Море Ируаз"
 STRATEGICREGION_36:1 "Бухта Дуамене"
 STRATEGICREGION_37:1 "Рад де Брест"
 STRATEGICREGION_38:1 "Ла-Манш"
 STRATEGICREGION_39:1 "Центральный канал"
 STRATEGICREGION_40:2 "Западный канал"
 STRATEGICREGION_41:3 "Юго-западные подходы"
 STRATEGICREGION_42:1 "Залив Одерн"
 STRATEGICREGION_43:1 "Кельтское море"
 STRATEGICREGION_44:1 "Вестершельда"
 СТРАТЕГИЧЕСКИЙ РЕГИОН_45:1 "Остершельде"
 STRATEGICREGION_46:1 "Харингвлит"
 STRATEGICREGION_47:2 "Гревелинген"
 STRATEGICREGION_48:1 "Волкерак"
 STRATEGICREGION_49:1 "Дуврский пролив"
 STRATEGICREGION_50:1 "Южная бухта"
 STRATEGICREGION_51:1 "Устье Темзы"
 STRATEGICREGION_52:1 "Голландское побережье"
 STRATEGICREGION_53:1 "Кармартен Бэй"
 STRATEGICREGION_54:1 "Кельтский шельф"
 STRATEGICREGION_55:1 "Барнстейпл-Бэй"
 STRATEGICREGION_56:1 "Северный Брабант"
 STRATEGICREGION_57:1 "Остров Уайт"
 STRATEGICREGION_58:1 "Франш-Конте"
 STRATEGICREGION_59:1 "Лотарингия"
